Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: temperature=0,,,,,,
1,logic_gates_lab3_nor_1,/in_a,,,,
1,logic_gates_lab3_nor_1,/in_b,,,,
1,logic_gates_lab3_nor_1,/out,,,,
1,logic_gates_lab3_nor_1,/PM0/D,,,,
1,logic_gates_lab3_nor_1,/C0/PLUS,,,,
1,logic_gates_lab3_nor_1,/C0/MINUS,,,,
1,logic_gates_lab3_nor_1,/V1/MINUS,,,,
1,logic_gates_lab3_nor_1,/V1/PLUS,,,,
1,logic_gates_lab3_nor_1,current_consumed,12.54e-9,,,
1,logic_gates_lab3_nor_1,power_consumed,15.05e-9,,,
1,logic_gates_lab3_nor_1,tpdf,103.6e-12,,,
1,logic_gates_lab3_nor_1,tpdr,235.4e-12,,,
1,logic_gates_lab3_nor_1,/vdd!,,,,
Parameters: temperature=50,,,,,,
2,logic_gates_lab3_nor_1,/in_a,,,,
2,logic_gates_lab3_nor_1,/in_b,,,,
2,logic_gates_lab3_nor_1,/out,,,,
2,logic_gates_lab3_nor_1,/PM0/D,,,,
2,logic_gates_lab3_nor_1,/C0/PLUS,,,,
2,logic_gates_lab3_nor_1,/C0/MINUS,,,,
2,logic_gates_lab3_nor_1,/V1/MINUS,,,,
2,logic_gates_lab3_nor_1,/V1/PLUS,,,,
2,logic_gates_lab3_nor_1,current_consumed,12.58e-9,,,
2,logic_gates_lab3_nor_1,power_consumed,15.09e-9,,,
2,logic_gates_lab3_nor_1,tpdf,118.6e-12,,,
2,logic_gates_lab3_nor_1,tpdr,266e-12,,,
2,logic_gates_lab3_nor_1,/vdd!,,,,
Parameters: temperature=100,,,,,,
3,logic_gates_lab3_nor_1,/in_a,,,,
3,logic_gates_lab3_nor_1,/in_b,,,,
3,logic_gates_lab3_nor_1,/out,,,,
3,logic_gates_lab3_nor_1,/PM0/D,,,,
3,logic_gates_lab3_nor_1,/C0/PLUS,,,,
3,logic_gates_lab3_nor_1,/C0/MINUS,,,,
3,logic_gates_lab3_nor_1,/V1/MINUS,,,,
3,logic_gates_lab3_nor_1,/V1/PLUS,,,,
3,logic_gates_lab3_nor_1,current_consumed,12.63e-9,,,
3,logic_gates_lab3_nor_1,power_consumed,15.16e-9,,,
3,logic_gates_lab3_nor_1,tpdf,135.8e-12,,,
3,logic_gates_lab3_nor_1,tpdr,295.9e-12,,,
3,logic_gates_lab3_nor_1,/vdd!,,,,

